SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_550_19,150975,1357400,25435295,361900,4310,191100,2452,65100,2636,70500,
seq_550_20,150975,1342100,25509620,349400,4322,190600,2395,60900,2741,70400,
seq_550_21,150975,1693800,25585144,634100,4315,297400,2046,83900,2551,96300,
seq_550_22,150975,1210100,25659324,366200,4314,189900,2506,62100,2346,70600,
seq_550_23,150975,1354400,25735930,360800,4310,192700,3021,495800,3166,107500,
seq_550_24,150975,1463900,25811011,366900,4323,190700,2392,61700,3215,77900,
seq_550_25,150975,1888100,25891542,716000,4312,301700,2806,83400,2754,101900,
seq_550_26,150975,1464800,25967197,356600,4303,189300,2790,64500,2235,69100,
seq_550_27,150975,1428300,26041775,351100,4315,193400,2629,62200,3095,72700,
seq_550_28,150975,2973300,26119276,520700,4314,192800,2958,63900,3095,73000,
seq_550_29,150975,1350600,26196327,363500,4336,190700,2730,62900,2505,70200,
seq_550_30,150975,1364800,26272207,384000,4291,190300,3854,78200,2550,70300,
seq_550_31,150975,1406600,26348055,420700,4331,190100,2493,63400,2494,72600,
seq_550_32,150975,1400200,26425506,433300,4328,191200,2387,61500,3821,75400,
seq_550_33,150975,1350100,26500777,555600,4314,576100,2524,93800,2889,110000,
seq_550_34,150975,1444400,26577270,359900,4307,196000,2932,65200,2551,70900,
seq_550_35,150975,1330300,26650619,345400,4312,189600,2447,61900,3026,70600,
seq_550_36,150975,1400500,26727230,363100,4344,189600,3043,64500,2007,66600,
seq_550_37,150975,1382500,26799993,342400,4319,192800,2326,62000,3539,72800,
seq_550_38,150975,1373200,26874406,349400,4333,188400,2906,400200,2871,113600,
seq_550_39,150975,1415000,26952900,369900,4327,192000,2085,59900,2617,71100,
seq_550_40,150975,1867600,27029948,680900,4334,312400,2367,90100,2227,101000,
seq_550_41,150975,2393800,27107696,373300,4320,198000,2402,62100,2230,69100,
seq_550_42,150975,1410500,27181597,349000,4310,195400,2633,61800,2529,71300,
seq_550_43,150975,1769700,27260740,405400,4333,193400,2485,64200,2733,70400,
seq_550_44,150975,1246500,27334603,348500,4306,190900,2160,67500,3433,74500,
seq_550_45,150975,1371200,27413099,369500,4292,190500,2494,62600,3129,71600,
seq_550_46,150975,2027900,27485138,362400,4331,191400,2226,61600,2865,70600,
seq_550_47,150975,1393100,27560585,362200,4322,190100,2599,62300,2722,71300,
seq_550_48,150975,2183500,27635230,709000,4306,275900,2653,64200,2768,72600,
seq_550_49,150975,1561900,27709349,355500,4301,190800,2555,63500,3055,74700,
seq_550_50,150975,1512500,27788732,440200,4322,189400,2357,61500,2590,71600,
seq_550_51,150975,2889800,27865570,606600,4331,352900,2588,62300,2471,70700,
seq_550_52,150975,1346700,27943154,369400,4309,190100,2684,63300,3025,72100,
seq_550_53,150975,1424600,28019084,358200,4298,190900,2204,60700,3522,75300,
seq_550_54,150975,1487200,28091505,344900,4325,190600,2225,62700,2343,162800,
seq_550_55,150975,1590700,28160915,336300,4324,190700,3339,65600,2537,71700,
seq_550_56,150975,1416300,28233913,351100,4312,190200,3044,75400,3305,207200,
seq_550_57,150975,1420100,28310307,359100,4316,191200,2275,63200,2243,68500,
seq_550_58,150975,1456500,28385153,354200,4304,191200,2766,61700,2888,71100,
seq_550_59,150975,1892500,28460275,417800,4305,191600,2229,62200,2404,70600,
seq_550_60,150975,1325000,28534335,420300,4329,190100,2781,64200,2665,70100,
seq_550_61,150975,1872600,28611220,678300,4314,222100,2409,63300,2312,70200,
seq_550_62,150975,1675000,28687291,362300,4335,191300,3106,67000,2540,70300,
seq_550_63,150975,1892900,28762291,659500,4343,225300,2441,62600,2723,70700,
seq_550_64,150975,1305900,28838254,361100,4294,190900,2591,63700,2679,72200,
seq_550_65,150975,1622100,28915377,609700,4354,200700,2357,62900,2469,70700,
seq_550_66,150975,1308400,28984532,327300,4336,191400,2714,62500,2517,69500,
seq_550_67,150975,1759100,29061071,630400,4319,319100,3110,93500,3459,112100,
seq_550_68,150975,1437700,29136433,356700,4307,190200,2537,63300,2826,73600,
seq_550_69,150975,1909600,29209882,352100,4347,190600,2087,61400,3097,71200,
seq_550_70,150975,1390000,29284405,350400,4310,190100,2707,63000,2691,71000,
seq_550_71,150975,1335200,29359246,880200,4319,193200,2922,93600,2121,210100,
seq_550_72,150975,1512800,29436642,375700,4334,204900,3056,63900,2638,69500,
seq_550_73,150975,1379300,29510021,345200,4343,191400,2812,61400,2620,74700,
seq_550_74,150975,1739000,29581916,342400,4308,190200,2760,63300,2398,69200,
seq_550_75,150975,1441800,29658014,358800,4330,234800,2368,61800,2514,70200,
seq_550_76,150975,1861400,29734609,664900,4332,1807200,2954,90300,2616,105500,
seq_550_77,150975,1340100,29808082,509000,4318,201700,2483,61900,2556,71600,
seq_550_78,150975,1274700,29888370,386600,4326,238600,2512,62600,2445,70000,
seq_550_79,150975,1396300,29961295,347100,4328,191000,2531,62500,2702,72000,
seq_550_80,150975,1444200,30036503,360200,4307,196800,3284,65200,2298,70000,
seq_550_81,150975,1693500,30112479,1294300,4333,309500,2297,88400,2917,113300,
seq_550_82,150975,1477800,30185944,352000,4319,200700,2948,64300,2517,70800,
seq_550_83,150975,1396900,30259735,350200,4321,189400,2395,63600,2578,70000,
seq_550_84,150975,1553700,30336451,628700,4297,364700,3716,97600,2306,99200,
seq_550_85,150975,1487300,30414113,386300,4311,191300,2540,64800,2620,71300,
seq_550_86,150975,1482100,30489539,371700,4320,197500,2334,62100,2286,70800,
